,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.1928,168.8643,41.47,88,85,7.83,NZ,1571594400
1,Merauke,-8.4903,140.3956,75.48,82,0,19.91,ID,1571594400
2,Ugoofaaru,5.6667,73.0,83.14,63,100,8.86,MV,1571594400
3,Traiguen,-38.25,-72.6834,59.96,51,93,6.73,CL,1571594400
4,San Juan de Uraba,8.7592,-76.5297,79.81,73,99,5.3,CO,1571594400
5,Ushuaia,-54.807,-68.3074,52.3,69,67,9.04,AR,1571594400
6,Ponta do Sol,-20.6335,-45.9989,84.31,46,88,2.15,BR,1571594400
7,Salalah,17.0149,54.0957,79.47,59,6,0.51,OM,1571594400
8,Rikitea,-23.1203,-134.9692,69.21,71,86,15.95,PF,1571594400
9,Puerto Ayora,-0.7394,-90.3518,73.87,67,36,14.79,EC,1571594400
10,Port Alfred,-33.5906,26.891,58.68,94,1,9.6,ZA,1571594400
11,Anadyr,64.7317,177.5061,25.48,90,99,10.22,RU,1571594400
12,Kavieng,-2.5745,150.7967,84.24,72,98,12.8,PG,1571594400
13,Vaini,15.336,74.4926,74.63,93,98,1.97,IN,1571594400
14,Corralillo,22.9838,-80.5859,87.48,68,27,5.86,CU,1571594400
15,Ostrovnoy,68.0544,39.5129,25.31,84,99,6.04,RU,1571594400
16,Hithadhoo,-0.6,73.0833,80.88,79,100,11.61,MV,1571594400
17,Namatanai,-3.6642,152.4407,78.72,82,100,11.27,PG,1571594400
18,Longyearbyen,78.2198,15.6349,12.61,77,0,8.63,NO,1571594400
19,Albany,42.6512,-73.755,52.61,71,100,4.83,US,1571594400
20,Tilichiki,60.4667,166.1,15.21,75,0,7.43,RU,1571594400
21,Bluff,-23.58,149.0661,65.49,57,0,14.09,AU,1571594400
22,Dabuleni,43.8008,24.0924,67.2,48,22,5.08,RO,1571594400
23,Saint-Philippe,45.3584,-73.4791,55.86,55,58,6.13,CA,1571594400
24,Falun,60.607,15.6323,40.5,97,100,6.42,SE,1571594400
25,Nizhnekamsk,55.6413,51.816,39.85,84,76,10.63,RU,1571594400
26,Georgetown,6.8026,-58.1629,89.4,71,64,9.01,GY,1571594400
27,Bubaque,11.2833,-15.8334,82.33,82,15,11.21,GW,1571594400
28,Arlit,18.7391,7.3933,95.64,22,19,18.41,NE,1571594400
29,Avarua,-21.2078,-159.775,74.81,84,100,12.01,CK,1571594400
30,Busselton,-33.6445,115.3489,61.63,72,0,7.56,AU,1571594400
31,Kamloops,50.6773,-120.3443,36.28,87,100,6.11,CA,1571594400
32,Vurgun,41.0942,45.4716,48.44,93,44,1.52,AZ,1571594400
33,Pasni,25.2627,63.4753,80.41,56,0,3.38,PK,1571594400
34,Mahebourg,-20.4081,57.7,73.04,84,90,13.22,MU,1571594400
35,Yellowknife,62.4541,-114.3774,27.72,85,9,7.11,CA,1571594400
36,Yulara,-25.2411,130.9869,72.66,23,81,13.18,AU,1571594400
37,Klaksvik,62.2266,-6.5891,46.53,73,100,15.84,FO,1571594400
38,Shimoda,34.701,138.9287,69.09,75,91,12.39,JP,1571594400
39,Lorengau,-2.0226,147.2712,80.12,81,65,9.06,PG,1571594400
40,Saint-Louis,16.028,-16.5049,87.49,72,33,17.83,SN,1571594400
41,Lebu,8.9611,38.7254,52.2,81,1,5.17,ET,1571594400
42,Alyth,56.6225,-3.2289,42.19,96,62,6.35,GB,1571594400
43,Tambovka,47.3177,47.3835,55.15,66,0,6.96,RU,1571594400
44,New Bern,35.1085,-77.0442,78.91,82,62,13.85,US,1571594400
45,Port Elizabeth,39.3134,-74.9811,55.54,95,100,8.77,US,1571594400
46,Fort Nelson,58.8063,-122.694,33.93,94,100,1.48,CA,1571594400
47,Cabo San Lucas,22.8938,-109.9112,80.65,65,9,6.8,MX,1571594400
48,Belyy Yar,53.6039,91.3903,23.54,71,91,13.35,RU,1571594400
49,Najran,17.544,44.2247,75.47,22,22,9.17,SA,1571594400
50,Sokolo,14.7414,-6.121,98.26,14,58,7.87,ML,1571594400
51,Zelenets,53.8311,48.0233,45.74,81,97,9.48,RU,1571594400
52,Butaritari,3.0707,172.7902,84.96,70,79,11.68,KI,1571594400
53,Coahuayana,18.6201,-100.3453,83.58,70,51,2.84,MX,1571594400
54,Rusape,-18.5336,32.1246,70.4,25,9,4.45,ZW,1571594400
55,Ostashkov,57.1402,33.1238,51.9,96,100,3.94,RU,1571594400
56,Ribeira Grande,38.5167,-28.7001,69.19,58,12,5.12,PT,1571594400
57,New Norfolk,-42.7802,147.0615,47.98,97,76,4.03,AU,1571594400
58,Mbaiki,3.8678,17.9892,71.93,93,75,1.81,CF,1571594400
59,Queimadas,-7.3641,-35.9017,93.03,34,26,14.38,BR,1571594400
60,Saryagash,41.4511,69.1701,62.62,21,38,6.96,KZ,1571594400
61,Laguna,16.1684,-88.941,95.58,46,82,3.53,BZ,1571594400
62,Punta Arenas,-53.1627,-70.9081,52.99,51,82,13.89,CL,1571594400
63,Burns Lake,54.2332,-125.7638,30.66,93,100,3.62,CA,1571594400
64,Khatanga,71.9801,102.4743,11.2,79,100,14.34,RU,1571594400
65,Rawson,-43.2992,-65.1057,81.69,22,80,13.73,AR,1571594400
66,Victor Harbor,-35.5546,138.6235,46.0,96,3,5.21,AU,1571594400
67,Dzhebariki-Khaya,62.2167,135.8,28.3,95,97,3.04,RU,1571594400
68,Faanui,-16.4834,-151.75,80.41,77,49,12.97,PF,1571594400
69,Cidreira,-30.1658,-50.2184,66.76,57,97,12.03,BR,1571594400
70,Victoria,5.2785,115.2423,85.36,71,89,5.01,BN,1571594400
71,Bodden Town,19.2833,-81.25,86.76,77,32,11.16,KY,1571594400
72,Sakti,-3.0864,120.2138,62.66,95,12,2.42,ID,1571594400
73,Pak Phanang,8.3475,100.2008,79.51,87,99,7.58,TH,1571594400
74,Alofi,-19.0596,-169.9187,78.81,81,62,12.06,NU,1571594400
75,Pontianak,-0.0227,109.3448,82.86,71,100,0.58,ID,1571594400
76,Tiksi,71.6366,128.8685,4.57,92,76,4.14,RU,1571594400
77,Tshikapa,-6.4231,20.7888,74.27,80,81,1.79,CD,1571594400
78,Carballo,43.2134,-8.6889,59.87,73,11,15.73,ES,1571594400
79,Camacha,33.0833,-16.3334,69.85,67,1,14.52,PT,1571594400
80,Kapaa,22.0752,-159.319,76.8,74,34,3.65,US,1571594400
81,Jamestown,-33.2075,138.6035,48.49,76,39,10.51,AU,1571594400
82,Lata,30.7809,78.6152,24.73,81,21,2.75,IN,1571594400
83,Dali,34.7925,109.9383,54.2,68,51,1.01,CN,1571594400
84,Ancud,-41.8682,-73.8288,51.43,81,100,28.23,CL,1571594400
85,Petropavlovsk-Kamchatskiy,53.0452,158.6483,33.99,51,0,6.4,RU,1571594400
86,Kulunda,52.5666,78.9354,23.69,74,0,6.8,RU,1571594400
87,Castro,-42.4824,-73.7644,48.58,97,100,13.15,CL,1571594400
88,Upernavik,72.7868,-56.1549,21.42,86,93,5.66,GL,1571594400
89,Hermanus,-34.4176,19.2361,62.6,79,100,11.3,ZA,1571594400
90,Codrington,-28.9484,153.2428,54.36,95,27,3.91,AU,1571594400
91,Atuona,-9.8,-139.0334,79.33,68,0,16.82,PF,1571594400
92,Souillac,45.6006,-0.6,55.93,77,100,8.77,FR,1571594400
93,Mandalgovi,45.763,106.2704,33.68,32,48,4.34,MN,1571594400
94,Sampit,-2.539,112.9494,75.57,97,52,2.57,ID,1571594400
95,Axim,4.8654,-2.2422,78.34,87,96,11.36,GH,1571594400
96,Acapulco,16.8603,-99.8769,83.75,73,21,4.99,MX,1571594400
97,Shingu,33.7241,135.993,59.55,90,100,3.47,JP,1571594400
98,Broken Hill,-31.9651,141.4511,54.09,54,0,13.51,AU,1571594400
99,Quatre Cocos,-20.2078,57.7625,73.0,84,90,13.22,MU,1571594400
100,Miguel Alves,-4.1729,-42.8941,100.3,25,98,3.74,BR,1571594400
101,Margate,-43.0274,147.2623,47.98,97,76,4.03,AU,1571594400
102,Lompoc,34.6392,-120.458,72.03,42,0,18.99,US,1571594400
103,Kieta,-6.2167,155.6333,82.28,74,94,5.08,PG,1571594400
104,Novoagansk,61.9449,76.6625,26.3,57,94,16.42,RU,1571594400
105,Guerrero Negro,27.971,-114.0364,67.39,81,0,13.47,MX,1571594400
106,Saskylakh,71.965,114.0939,1.08,82,88,9.64,RU,1571594400
107,Santa Rosa,-36.6204,-64.2907,61.4,68,100,13.6,AR,1571594400
108,Hamilton,43.2552,-79.8683,63.36,60,57,3.67,CA,1571594400
109,Cape Town,-33.929,18.4174,63.97,79,100,14.7,ZA,1571594400
110,Evensk,61.9192,159.2359,18.63,57,99,4.72,RU,1571594400
111,Lilongwe,-13.9735,33.7878,75.35,51,100,8.81,MW,1571594400
112,Vila Franca do Campo,37.7167,-25.4334,66.0,65,55,13.04,PT,1571594400
113,Parrita,9.5205,-84.3269,80.46,78,31,10.89,CR,1571594400
114,Banepa,27.6323,85.5216,64.36,86,100,2.93,NP,1571594400
115,Ginir,7.1363,40.7112,57.89,89,80,5.68,ET,1571594400
116,Carnarvon,-30.9678,22.1333,68.8,16,0,18.21,ZA,1571594400
117,Bardsir,29.9284,56.5717,59.99,60,88,7.29,IR,1571594400
118,Sortavala,61.7027,30.6912,36.81,88,98,2.71,RU,1571594400
119,Saint Anthony,43.9663,-111.6822,39.11,57,78,6.58,US,1571594400
120,Hobart,-42.8826,147.3281,47.98,97,76,4.03,AU,1571594400
121,Ornskoldsvik,63.2909,18.7153,31.95,86,98,4.54,SE,1571594400
122,That Phanom,16.9407,104.728,70.9,85,9,5.28,TH,1571594400
123,Ewa Beach,21.3156,-158.0089,80.07,73,1,3.09,US,1571594400
124,Elizabeth City,36.2957,-76.2248,72.31,96,99,11.7,US,1571594400
125,Katsuura,33.9258,134.505,60.82,89,100,3.78,JP,1571594400
126,Caluquembe,-13.7834,14.6833,72.11,55,33,9.82,AO,1571594400
127,Belmonte,40.3583,-7.3513,47.34,85,75,6.62,PT,1571594400
128,Hasaki,35.7333,140.8333,64.68,66,100,5.19,JP,1571594400
129,Alta Floresta,-9.8716,-56.084,94.74,38,82,3.27,BR,1571594400
130,Pundaguitan,6.3711,126.1689,82.23,74,4,4.36,PH,1571594400
131,Padang,-0.9248,100.3633,78.7,86,99,11.25,ID,1571594400
132,Zabid,14.1972,44.5021,65.99,84,44,1.83,YE,1571594400
133,Tiznit,29.6986,-9.7313,66.58,82,0,20.83,MA,1571594400
134,Chimore,-16.9834,-65.1334,86.33,42,74,4.27,BO,1571594400
135,Port Lincoln,-34.7212,135.8592,56.0,86,20,16.13,AU,1571594400
136,Rafai,4.95,23.9167,71.05,94,100,1.83,CF,1571594400
137,Sao Filipe,14.8961,-24.4956,78.01,83,13,20.96,CV,1571594400
138,Barrow,-38.3131,-60.2291,67.97,54,100,13.82,AR,1571594400
139,Chokurdakh,70.6192,147.9022,1.71,96,97,4.83,RU,1571594400
140,Pacific Grove,36.6174,-121.9156,57.93,83,0,14.43,US,1571594400
141,Robertsport,6.7526,-11.367,79.35,84,88,7.36,LR,1571594400
142,Repino,60.1668,29.8655,48.74,96,100,5.28,RU,1571594400
143,Trelleborg,55.3759,13.1462,54.11,88,100,5.95,SE,1571594400
144,Bredasdorp,-34.5331,20.0428,61.63,79,99,10.18,ZA,1571594400
145,Tasiilaq,65.6145,-37.6368,26.15,67,33,2.89,GL,1571594400
146,Nong Chik,6.8436,101.178,82.55,81,73,15.7,TH,1571594400
147,Yumen,40.2917,97.0449,45.67,19,51,7.2,CN,1571594400
148,Portland,43.661,-70.2549,54.06,55,91,5.44,US,1571594400
149,Antigonish,45.6214,-61.9905,49.75,71,94,19.66,CA,1571594400
150,Astoria,46.1879,-123.8313,49.25,90,100,14.88,US,1571594400
151,Nabire,-3.3597,135.505,70.24,99,60,2.3,ID,1571594400
152,Dikson,73.5069,80.5464,23.96,85,93,15.19,RU,1571594400
153,Show Low,34.2542,-110.0299,58.46,21,17,10.11,US,1571594400
154,Amapa,15.0877,-87.9726,93.07,45,100,4.23,HN,1571594400
155,Marsh Harbour,26.5383,-77.0611,82.35,83,76,11.99,BS,1571594400
156,Hilo,19.7072,-155.0817,72.14,71,66,3.22,US,1571594400
157,Vagur,61.4732,-6.8119,47.04,78,100,15.55,FO,1571594400
